config,bench,run,wall_seconds
phpspy-1khz,fib-37,1,1.206
reli-1khz,fib-37,1,0.994
phpspy-1khz,fib-37,2,1.202
reli-1khz,fib-37,2,1.083
phpspy-1khz,fib-37,3,1.230
reli-1khz,fib-37,3,1.131
phpspy-1khz,fib-37,4,1.196
reli-1khz,fib-37,4,1.204
phpspy-1khz,fib-37,5,1.195
reli-1khz,fib-37,5,1.200
phpspy-1khz,fib-37,6,1.227
reli-1khz,fib-37,6,0.976
phpspy-1khz,fib-37,7,1.205
reli-1khz,fib-37,7,1.215
phpspy-1khz,fib-37,8,1.202
reli-1khz,fib-37,8,0.970
phpspy-1khz,fib-37,9,1.195
reli-1khz,fib-37,9,1.205
phpspy-1khz,fib-37,10,1.230
reli-1khz,fib-37,10,0.988
phpspy-1khz,sort-100k-x100,1,2.334
reli-1khz,sort-100k-x100,1,2.323
phpspy-1khz,sort-100k-x100,2,2.273
reli-1khz,sort-100k-x100,2,2.371
phpspy-1khz,sort-100k-x100,3,2.306
reli-1khz,sort-100k-x100,3,2.251
phpspy-1khz,sort-100k-x100,4,2.340
reli-1khz,sort-100k-x100,4,2.305
phpspy-1khz,sort-100k-x100,5,2.244
reli-1khz,sort-100k-x100,5,2.320
phpspy-1khz,sort-100k-x100,6,2.361
reli-1khz,sort-100k-x100,6,2.371
phpspy-1khz,sort-100k-x100,7,2.308
reli-1khz,sort-100k-x100,7,2.376
phpspy-1khz,sort-100k-x100,8,2.334
reli-1khz,sort-100k-x100,8,2.304
phpspy-1khz,sort-100k-x100,9,2.364
reli-1khz,sort-100k-x100,9,2.362
phpspy-1khz,sort-100k-x100,10,2.308
reli-1khz,sort-100k-x100,10,2.304
phpspy-1khz,mandelbrot-500,1,0.679
reli-1khz,mandelbrot-500,1,0.806
phpspy-1khz,mandelbrot-500,2,0.781
reli-1khz,mandelbrot-500,2,0.800
phpspy-1khz,mandelbrot-500,3,0.790
reli-1khz,mandelbrot-500,3,0.788
phpspy-1khz,mandelbrot-500,4,0.687
reli-1khz,mandelbrot-500,4,0.800
phpspy-1khz,mandelbrot-500,5,0.833
reli-1khz,mandelbrot-500,5,0.793
phpspy-1khz,mandelbrot-500,6,0.795
reli-1khz,mandelbrot-500,6,0.791
phpspy-1khz,mandelbrot-500,7,0.812
reli-1khz,mandelbrot-500,7,0.785
phpspy-1khz,mandelbrot-500,8,0.616
reli-1khz,mandelbrot-500,8,0.655
phpspy-1khz,mandelbrot-500,9,0.618
reli-1khz,mandelbrot-500,9,0.803
phpspy-1khz,mandelbrot-500,10,0.805
reli-1khz,mandelbrot-500,10,0.793
phpspy-1khz,depth-30-2M,1,2.724
reli-1khz,depth-30-2M,1,1.932
phpspy-1khz,depth-30-2M,2,2.542
reli-1khz,depth-30-2M,2,2.467
phpspy-1khz,depth-30-2M,3,2.534
reli-1khz,depth-30-2M,3,1.963
phpspy-1khz,depth-30-2M,4,2.464
reli-1khz,depth-30-2M,4,2.534
phpspy-1khz,depth-30-2M,5,2.470
reli-1khz,depth-30-2M,5,2.440
phpspy-1khz,depth-30-2M,6,2.314
reli-1khz,depth-30-2M,6,2.054
phpspy-1khz,depth-30-2M,7,2.480
reli-1khz,depth-30-2M,7,2.457
phpspy-1khz,depth-30-2M,8,1.970
reli-1khz,depth-30-2M,8,1.938
phpspy-1khz,depth-30-2M,9,2.485
reli-1khz,depth-30-2M,9,2.381
phpspy-1khz,depth-30-2M,10,1.948
reli-1khz,depth-30-2M,10,2.561
phpspy-1khz,depth-100-1M,1,2.134
reli-1khz,depth-100-1M,1,2.292
phpspy-1khz,depth-100-1M,2,2.169
reli-1khz,depth-100-1M,2,2.196
phpspy-1khz,depth-100-1M,3,1.841
reli-1khz,depth-100-1M,3,2.177
phpspy-1khz,depth-100-1M,4,1.989
reli-1khz,depth-100-1M,4,2.173
phpspy-1khz,depth-100-1M,5,2.015
reli-1khz,depth-100-1M,5,1.710
phpspy-1khz,depth-100-1M,6,2.147
reli-1khz,depth-100-1M,6,2.175
phpspy-1khz,depth-100-1M,7,2.295
reli-1khz,depth-100-1M,7,2.192
phpspy-1khz,depth-100-1M,8,1.721
reli-1khz,depth-100-1M,8,2.181
phpspy-1khz,depth-100-1M,9,2.198
reli-1khz,depth-100-1M,9,2.191
phpspy-1khz,depth-100-1M,10,2.206
reli-1khz,depth-100-1M,10,2.196
datadog-prof,fib-37,1,1.202
datadog-prof,fib-37,2,1.211
datadog-prof,fib-37,3,1.198
datadog-prof,fib-37,4,1.200
datadog-prof,fib-37,5,1.224
datadog-prof,fib-37,6,1.197
datadog-prof,fib-37,7,1.212
datadog-prof,fib-37,8,1.213
datadog-prof,fib-37,9,1.204
datadog-prof,fib-37,10,1.196
datadog-prof,sort-100k-x100,1,2.416
datadog-prof,sort-100k-x100,2,2.419
datadog-prof,sort-100k-x100,3,2.429
datadog-prof,sort-100k-x100,4,2.381
datadog-prof,sort-100k-x100,5,2.402
datadog-prof,sort-100k-x100,6,2.421
datadog-prof,sort-100k-x100,7,2.446
datadog-prof,sort-100k-x100,8,2.438
datadog-prof,sort-100k-x100,9,2.465
datadog-prof,sort-100k-x100,10,2.448
datadog-prof,mandelbrot-500,1,0.795
datadog-prof,mandelbrot-500,2,0.794
datadog-prof,mandelbrot-500,3,0.798
datadog-prof,mandelbrot-500,4,0.794
datadog-prof,mandelbrot-500,5,0.792
datadog-prof,mandelbrot-500,6,0.793
datadog-prof,mandelbrot-500,7,0.798
datadog-prof,mandelbrot-500,8,0.810
datadog-prof,mandelbrot-500,9,0.804
datadog-prof,mandelbrot-500,10,0.794
datadog-prof,depth-30-2M,1,2.471
datadog-prof,depth-30-2M,2,2.423
datadog-prof,depth-30-2M,3,2.528
datadog-prof,depth-30-2M,4,2.417
datadog-prof,depth-30-2M,5,2.453
datadog-prof,depth-30-2M,6,2.426
datadog-prof,depth-30-2M,7,2.459
datadog-prof,depth-30-2M,8,2.401
datadog-prof,depth-30-2M,9,2.471
datadog-prof,depth-30-2M,10,2.449
datadog-prof,depth-100-1M,1,2.234
datadog-prof,depth-100-1M,2,2.184
datadog-prof,depth-100-1M,3,2.180
datadog-prof,depth-100-1M,4,2.181
datadog-prof,depth-100-1M,5,2.173
datadog-prof,depth-100-1M,6,2.148
datadog-prof,depth-100-1M,7,2.234
datadog-prof,depth-100-1M,8,2.156
datadog-prof,depth-100-1M,9,2.210
datadog-prof,depth-100-1M,10,2.178
