config,bench,run,wall_seconds
datadog-prof-jit,mandelbrot-500,2,0.397
datadog-prof-jit,mandelbrot-500,3,0.398
datadog-prof-jit,mandelbrot-500,4,0.433
datadog-prof-jit,mandelbrot-500,5,0.447
datadog-prof-jit,mandelbrot-500,6,0.432
datadog-prof-jit,mandelbrot-500,7,0.439
datadog-prof-jit,mandelbrot-500,8,0.408
datadog-prof-jit,mandelbrot-500,9,0.426
datadog-prof-jit,mandelbrot-500,10,0.419
datadog-prof-jit,depth-30-2M,1,0.508
datadog-prof-jit,depth-30-2M,2,0.503
datadog-prof-jit,depth-30-2M,3,0.506
datadog-prof-jit,depth-30-2M,4,0.518
datadog-prof-jit,depth-30-2M,5,0.510
datadog-prof-jit,depth-30-2M,6,0.525
datadog-prof-jit,depth-30-2M,7,0.523
datadog-prof-jit,depth-30-2M,8,0.523
datadog-prof-jit,depth-30-2M,9,0.519
datadog-prof-jit,depth-30-2M,10,0.510
datadog-prof-jit,depth-100-1M,1,0.651
datadog-prof-jit,depth-100-1M,2,0.646
datadog-prof-jit,depth-100-1M,3,0.646
datadog-prof-jit,depth-100-1M,4,0.628
datadog-prof-jit,depth-100-1M,5,0.645
datadog-prof-jit,depth-100-1M,6,0.652
datadog-prof-jit,depth-100-1M,7,0.658
datadog-prof-jit,depth-100-1M,8,0.643
datadog-prof-jit,depth-100-1M,9,0.617
datadog-prof-jit,depth-100-1M,10,0.625
baseline-jit-short,fib-32,1,0.040
baseline-jit-short,fib-32,2,0.037
baseline-jit-short,fib-32,3,0.038
baseline-jit-short,fib-32,4,0.038
baseline-jit-short,fib-32,5,0.045
baseline-jit-short,fib-32,6,0.030
baseline-jit-short,fib-32,7,0.040
baseline-jit-short,fib-32,8,0.039
baseline-jit-short,fib-32,9,0.038
baseline-jit-short,fib-32,10,0.038
baseline-jit-short,sort-100k-x10,1,0.225
baseline-jit-short,sort-100k-x10,2,0.222
baseline-jit-short,sort-100k-x10,3,0.227
baseline-jit-short,sort-100k-x10,4,0.234
baseline-jit-short,sort-100k-x10,5,0.234
baseline-jit-short,sort-100k-x10,6,0.224
baseline-jit-short,sort-100k-x10,7,0.231
baseline-jit-short,sort-100k-x10,8,0.232
baseline-jit-short,sort-100k-x10,9,0.227
baseline-jit-short,sort-100k-x10,10,0.233
baseline-jit-short,mandelbrot-200,1,0.042
baseline-jit-short,mandelbrot-200,2,0.037
baseline-jit-short,mandelbrot-200,3,0.054
baseline-jit-short,mandelbrot-200,4,0.049
baseline-jit-short,mandelbrot-200,5,0.037
baseline-jit-short,mandelbrot-200,6,0.048
baseline-jit-short,mandelbrot-200,7,0.048
baseline-jit-short,mandelbrot-200,8,0.054
baseline-jit-short,mandelbrot-200,9,0.050
baseline-jit-short,mandelbrot-200,10,0.041
baseline-jit-short,depth-30,1,0.054
baseline-jit-short,depth-30,2,0.052
baseline-jit-short,depth-30,3,0.056
baseline-jit-short,depth-30,4,0.043
baseline-jit-short,depth-30,5,0.046
baseline-jit-short,depth-30,6,0.043
baseline-jit-short,depth-30,7,0.043
baseline-jit-short,depth-30,8,0.052
baseline-jit-short,depth-30,9,0.042
baseline-jit-short,depth-30,10,0.054
baseline-jit-short,depth-100,1,0.067
baseline-jit-short,depth-100,2,0.067
baseline-jit-short,depth-100,3,0.067
baseline-jit-short,depth-100,4,0.065
baseline-jit-short,depth-100,5,0.066
baseline-jit-short,depth-100,6,0.066
baseline-jit-short,depth-100,7,0.068
baseline-jit-short,depth-100,8,0.064
baseline-jit-short,depth-100,9,0.053
baseline-jit-short,depth-100,10,0.068
xhprof-jit,fib-32,1,62.340
xhprof-jit,fib-32,2,62.340
xhprof-jit,fib-32,3,61.747
xhprof-jit,sort-100k-x10,1,0.232
xhprof-jit,sort-100k-x10,2,0.233
xhprof-jit,sort-100k-x10,3,0.240
xhprof-jit,mandelbrot-200,1,0.047
xhprof-jit,mandelbrot-200,2,0.047
xhprof-jit,mandelbrot-200,3,0.047
xhprof-jit,depth-30,1,52.489
xhprof-jit,depth-30,2,52.296
xhprof-jit,depth-30,3,54.430
xhprof-jit,depth-100,1,84.551
xhprof-jit,depth-100,2,84.375
xhprof-jit,depth-100,3,84.514
xdebug-profile-jit,fib-32,1,6.920
xdebug-profile-jit,fib-32,2,6.900
xdebug-profile-jit,fib-32,3,6.899
xdebug-profile-jit,sort-100k-x10,1,0.230
xdebug-profile-jit,sort-100k-x10,2,0.237
xdebug-profile-jit,sort-100k-x10,3,0.224
xdebug-profile-jit,mandelbrot-200,1,0.470
xdebug-profile-jit,mandelbrot-200,2,0.520
xdebug-profile-jit,mandelbrot-200,3,0.497
xdebug-profile-jit,depth-30,1,8.128
xdebug-profile-jit,depth-30,2,7.940
xdebug-profile-jit,depth-30,3,8.092
xdebug-profile-jit,depth-100,1,10.641
xdebug-profile-jit,depth-100,2,10.651
xdebug-profile-jit,depth-100,3,10.630
phpspy-1khz-jit,fib-37,1,0.369
reli-1khz-jit,fib-37,1,0.371
reli-1khz-relijit,fib-37,1,0.372
phpspy-1khz-jit,fib-37,2,0.371
reli-1khz-jit,fib-37,2,0.368
reli-1khz-relijit,fib-37,2,0.379
phpspy-1khz-jit,fib-37,3,0.297
reli-1khz-jit,fib-37,3,0.291
reli-1khz-relijit,fib-37,3,0.378
phpspy-1khz-jit,fib-37,4,0.376
reli-1khz-jit,fib-37,4,0.369
reli-1khz-relijit,fib-37,4,0.378
phpspy-1khz-jit,fib-37,5,0.373
reli-1khz-jit,fib-37,5,0.374
reli-1khz-relijit,fib-37,5,0.285
phpspy-1khz-jit,fib-37,6,0.291
reli-1khz-jit,fib-37,6,0.371
reli-1khz-relijit,fib-37,6,0.292
phpspy-1khz-jit,fib-37,7,0.380
reli-1khz-jit,fib-37,7,0.380
reli-1khz-relijit,fib-37,7,0.373
phpspy-1khz-jit,fib-37,8,0.368
reli-1khz-jit,fib-37,8,0.367
reli-1khz-relijit,fib-37,8,0.373
phpspy-1khz-jit,fib-37,9,0.379
reli-1khz-jit,fib-37,9,0.367
reli-1khz-relijit,fib-37,9,0.372
phpspy-1khz-jit,fib-37,10,0.372
reli-1khz-jit,fib-37,10,0.372
reli-1khz-relijit,fib-37,10,0.370
phpspy-1khz-jit,sort-100k-x100,1,2.312
reli-1khz-jit,sort-100k-x100,1,2.319
reli-1khz-relijit,sort-100k-x100,1,2.309
phpspy-1khz-jit,sort-100k-x100,2,2.323
reli-1khz-jit,sort-100k-x100,2,2.301
reli-1khz-relijit,sort-100k-x100,2,2.287
phpspy-1khz-jit,sort-100k-x100,3,2.258
reli-1khz-jit,sort-100k-x100,3,2.311
reli-1khz-relijit,sort-100k-x100,3,2.324
phpspy-1khz-jit,sort-100k-x100,4,2.368
reli-1khz-jit,sort-100k-x100,4,2.316
reli-1khz-relijit,sort-100k-x100,4,2.341
phpspy-1khz-jit,sort-100k-x100,5,2.358
reli-1khz-jit,sort-100k-x100,5,2.306
reli-1khz-relijit,sort-100k-x100,5,2.231
phpspy-1khz-jit,sort-100k-x100,6,2.302
reli-1khz-jit,sort-100k-x100,6,2.304
reli-1khz-relijit,sort-100k-x100,6,2.341
phpspy-1khz-jit,sort-100k-x100,7,2.269
reli-1khz-jit,sort-100k-x100,7,2.292
reli-1khz-relijit,sort-100k-x100,7,2.232
phpspy-1khz-jit,sort-100k-x100,8,2.234
reli-1khz-jit,sort-100k-x100,8,2.268
reli-1khz-relijit,sort-100k-x100,8,2.267
phpspy-1khz-jit,sort-100k-x100,9,2.254
reli-1khz-jit,sort-100k-x100,9,2.270
reli-1khz-relijit,sort-100k-x100,9,2.211
phpspy-1khz-jit,sort-100k-x100,10,2.236
reli-1khz-jit,sort-100k-x100,10,2.294
reli-1khz-relijit,sort-100k-x100,10,2.320
phpspy-1khz-jit,mandelbrot-500,1,0.433
reli-1khz-jit,mandelbrot-500,1,0.425
reli-1khz-relijit,mandelbrot-500,1,0.419
phpspy-1khz-jit,mandelbrot-500,2,0.458
reli-1khz-jit,mandelbrot-500,2,0.428
reli-1khz-relijit,mandelbrot-500,2,0.320
phpspy-1khz-jit,mandelbrot-500,3,0.427
reli-1khz-jit,mandelbrot-500,3,0.431
reli-1khz-relijit,mandelbrot-500,3,0.323
phpspy-1khz-jit,mandelbrot-500,4,0.418
reli-1khz-jit,mandelbrot-500,4,0.425
reli-1khz-relijit,mandelbrot-500,4,0.428
phpspy-1khz-jit,mandelbrot-500,5,0.429
reli-1khz-jit,mandelbrot-500,5,0.432
reli-1khz-relijit,mandelbrot-500,5,0.431
phpspy-1khz-jit,mandelbrot-500,6,0.489
reli-1khz-jit,mandelbrot-500,6,0.417
reli-1khz-relijit,mandelbrot-500,6,0.419
phpspy-1khz-jit,mandelbrot-500,7,0.422
reli-1khz-jit,mandelbrot-500,7,0.435
reli-1khz-relijit,mandelbrot-500,7,0.428
phpspy-1khz-jit,mandelbrot-500,8,0.446
reli-1khz-jit,mandelbrot-500,8,0.433
reli-1khz-relijit,mandelbrot-500,8,0.432
phpspy-1khz-jit,mandelbrot-500,9,0.437
reli-1khz-jit,mandelbrot-500,9,0.433
reli-1khz-relijit,mandelbrot-500,9,0.330
phpspy-1khz-jit,mandelbrot-500,10,0.427
reli-1khz-jit,mandelbrot-500,10,0.343
reli-1khz-relijit,mandelbrot-500,10,0.403
phpspy-1khz-jit,depth-30-2M,1,0.424
reli-1khz-jit,depth-30-2M,1,0.516
reli-1khz-relijit,depth-30-2M,1,0.509
phpspy-1khz-jit,depth-30-2M,2,0.442
reli-1khz-jit,depth-30-2M,2,0.398
reli-1khz-relijit,depth-30-2M,2,0.500
phpspy-1khz-jit,depth-30-2M,3,0.527
reli-1khz-jit,depth-30-2M,3,0.502
reli-1khz-relijit,depth-30-2M,3,0.419
phpspy-1khz-jit,depth-30-2M,4,0.511
reli-1khz-jit,depth-30-2M,4,0.540
reli-1khz-relijit,depth-30-2M,4,0.397
phpspy-1khz-jit,depth-30-2M,5,0.505
reli-1khz-jit,depth-30-2M,5,0.514
reli-1khz-relijit,depth-30-2M,5,0.514
phpspy-1khz-jit,depth-30-2M,6,0.505
reli-1khz-jit,depth-30-2M,6,0.510
reli-1khz-relijit,depth-30-2M,6,0.396
phpspy-1khz-jit,depth-30-2M,7,0.511
reli-1khz-jit,depth-30-2M,7,0.503
reli-1khz-relijit,depth-30-2M,7,0.405
phpspy-1khz-jit,depth-30-2M,8,0.508
reli-1khz-jit,depth-30-2M,8,0.515
reli-1khz-relijit,depth-30-2M,8,0.516
phpspy-1khz-jit,depth-30-2M,9,0.402
reli-1khz-jit,depth-30-2M,9,0.509
reli-1khz-relijit,depth-30-2M,9,0.517
phpspy-1khz-jit,depth-30-2M,10,0.510
reli-1khz-jit,depth-30-2M,10,0.516
reli-1khz-relijit,depth-30-2M,10,0.511
phpspy-1khz-jit,depth-100-1M,1,0.653
reli-1khz-jit,depth-100-1M,1,0.499
reli-1khz-relijit,depth-100-1M,1,0.645
phpspy-1khz-jit,depth-100-1M,2,0.649
reli-1khz-jit,depth-100-1M,2,0.651
reli-1khz-relijit,depth-100-1M,2,0.640
phpspy-1khz-jit,depth-100-1M,3,0.644
reli-1khz-jit,depth-100-1M,3,0.640
reli-1khz-relijit,depth-100-1M,3,0.641
phpspy-1khz-jit,depth-100-1M,4,0.507
reli-1khz-jit,depth-100-1M,4,0.638
reli-1khz-relijit,depth-100-1M,4,0.504
phpspy-1khz-jit,depth-100-1M,5,0.643
reli-1khz-jit,depth-100-1M,5,0.650
reli-1khz-relijit,depth-100-1M,5,0.639
phpspy-1khz-jit,depth-100-1M,6,0.502
reli-1khz-jit,depth-100-1M,6,0.655
reli-1khz-relijit,depth-100-1M,6,0.510
phpspy-1khz-jit,depth-100-1M,7,0.658
reli-1khz-jit,depth-100-1M,7,0.606
reli-1khz-relijit,depth-100-1M,7,0.640
phpspy-1khz-jit,depth-100-1M,8,0.644
reli-1khz-jit,depth-100-1M,8,0.644
reli-1khz-relijit,depth-100-1M,8,0.642
phpspy-1khz-jit,depth-100-1M,9,0.651
reli-1khz-jit,depth-100-1M,9,0.647
reli-1khz-relijit,depth-100-1M,9,0.639
phpspy-1khz-jit,depth-100-1M,10,0.651
reli-1khz-jit,depth-100-1M,10,0.499
reli-1khz-relijit,depth-100-1M,10,0.678
