config,bench,run,wall_seconds
datadog-prof-jit,mandelbrot-500,2,0.326
datadog-prof-jit,mandelbrot-500,3,0.371
datadog-prof-jit,mandelbrot-500,4,0.340
datadog-prof-jit,mandelbrot-500,5,0.310
datadog-prof-jit,mandelbrot-500,6,0.454
datadog-prof-jit,mandelbrot-500,7,0.289
datadog-prof-jit,mandelbrot-500,8,0.284
datadog-prof-jit,mandelbrot-500,9,0.280
datadog-prof-jit,mandelbrot-500,10,0.294
datadog-prof-jit,depth-30-2M,1,0.289
datadog-prof-jit,depth-30-2M,2,0.266
datadog-prof-jit,depth-30-2M,3,0.274
datadog-prof-jit,depth-30-2M,4,0.266
datadog-prof-jit,depth-30-2M,5,0.268
datadog-prof-jit,depth-30-2M,6,0.272
datadog-prof-jit,depth-30-2M,7,0.285
datadog-prof-jit,depth-30-2M,8,0.265
datadog-prof-jit,depth-30-2M,9,0.268
datadog-prof-jit,depth-30-2M,10,0.267
datadog-prof-jit,depth-100-1M,1,0.333
datadog-prof-jit,depth-100-1M,2,0.328
datadog-prof-jit,depth-100-1M,3,0.336
datadog-prof-jit,depth-100-1M,4,0.327
datadog-prof-jit,depth-100-1M,5,0.330
datadog-prof-jit,depth-100-1M,6,0.344
datadog-prof-jit,depth-100-1M,7,0.336
datadog-prof-jit,depth-100-1M,8,0.343
datadog-prof-jit,depth-100-1M,9,0.328
datadog-prof-jit,depth-100-1M,10,0.326
baseline-jit-short,fib-32,1,0.030
baseline-jit-short,fib-32,2,0.026
baseline-jit-short,fib-32,3,0.027
baseline-jit-short,fib-32,4,0.033
baseline-jit-short,fib-32,5,0.026
baseline-jit-short,fib-32,6,0.025
baseline-jit-short,fib-32,7,0.053
baseline-jit-short,fib-32,8,0.026
baseline-jit-short,fib-32,9,0.025
baseline-jit-short,fib-32,10,0.028
baseline-jit-short,sort-100k-x10,1,0.117
baseline-jit-short,sort-100k-x10,2,0.119
baseline-jit-short,sort-100k-x10,3,0.109
baseline-jit-short,sort-100k-x10,4,0.119
baseline-jit-short,sort-100k-x10,5,0.112
baseline-jit-short,sort-100k-x10,6,0.105
baseline-jit-short,sort-100k-x10,7,0.110
baseline-jit-short,sort-100k-x10,8,0.107
baseline-jit-short,sort-100k-x10,9,0.107
baseline-jit-short,sort-100k-x10,10,0.113
baseline-jit-short,mandelbrot-200,1,0.034
baseline-jit-short,mandelbrot-200,2,0.046
baseline-jit-short,mandelbrot-200,3,0.034
baseline-jit-short,mandelbrot-200,4,0.032
baseline-jit-short,mandelbrot-200,5,0.032
baseline-jit-short,mandelbrot-200,6,0.046
baseline-jit-short,mandelbrot-200,7,0.046
baseline-jit-short,mandelbrot-200,8,0.039
baseline-jit-short,mandelbrot-200,9,0.033
baseline-jit-short,mandelbrot-200,10,0.035
baseline-jit-short,depth-30,1,0.027
baseline-jit-short,depth-30,2,0.026
baseline-jit-short,depth-30,3,0.027
baseline-jit-short,depth-30,4,0.043
baseline-jit-short,depth-30,5,0.028
baseline-jit-short,depth-30,6,0.027
baseline-jit-short,depth-30,7,0.026
baseline-jit-short,depth-30,8,0.030
baseline-jit-short,depth-30,9,0.031
baseline-jit-short,depth-30,10,0.027
baseline-jit-short,depth-100,1,0.035
baseline-jit-short,depth-100,2,0.035
baseline-jit-short,depth-100,3,0.035
baseline-jit-short,depth-100,4,0.045
baseline-jit-short,depth-100,5,0.049
baseline-jit-short,depth-100,6,0.033
baseline-jit-short,depth-100,7,0.034
baseline-jit-short,depth-100,8,0.049
baseline-jit-short,depth-100,9,0.038
baseline-jit-short,depth-100,10,0.035
xhprof-jit,fib-32,1,2.265
xhprof-jit,fib-32,2,2.206
xhprof-jit,fib-32,3,2.233
xhprof-jit,sort-100k-x10,1,0.112
xhprof-jit,sort-100k-x10,2,0.109
xhprof-jit,sort-100k-x10,3,0.111
xhprof-jit,mandelbrot-200,1,0.036
xhprof-jit,mandelbrot-200,2,0.037
xhprof-jit,mandelbrot-200,3,0.033
xhprof-jit,depth-30,1,1.935
xhprof-jit,depth-30,2,1.955
xhprof-jit,depth-30,3,1.949
xhprof-jit,depth-100,1,3.141
xhprof-jit,depth-100,2,3.240
xhprof-jit,depth-100,3,3.154
xdebug-profile-jit,fib-32,1,2.501
xdebug-profile-jit,fib-32,2,2.445
xdebug-profile-jit,fib-32,3,2.421
xdebug-profile-jit,sort-100k-x10,1,0.115
xdebug-profile-jit,sort-100k-x10,2,0.107
xdebug-profile-jit,sort-100k-x10,3,0.120
xdebug-profile-jit,mandelbrot-200,1,0.304
xdebug-profile-jit,mandelbrot-200,2,0.281
xdebug-profile-jit,mandelbrot-200,3,0.286
xdebug-profile-jit,depth-30,1,3.119
xdebug-profile-jit,depth-30,2,3.090
xdebug-profile-jit,depth-30,3,3.094
xdebug-profile-jit,depth-100,1,3.833
xdebug-profile-jit,depth-100,2,3.770
xdebug-profile-jit,depth-100,3,4.008
phpspy-1khz-jit,fib-37,1,0.264
reli-1khz-jit,fib-37,1,0.286
reli-1khz-relijit,fib-37,1,0.264
phpspy-1khz-jit,fib-37,2,0.259
reli-1khz-jit,fib-37,2,0.262
reli-1khz-relijit,fib-37,2,0.247
phpspy-1khz-jit,fib-37,3,0.253
reli-1khz-jit,fib-37,3,0.278
reli-1khz-relijit,fib-37,3,0.255
phpspy-1khz-jit,fib-37,4,0.254
reli-1khz-jit,fib-37,4,0.279
reli-1khz-relijit,fib-37,4,0.300
phpspy-1khz-jit,fib-37,5,0.249
reli-1khz-jit,fib-37,5,0.254
reli-1khz-relijit,fib-37,5,0.249
phpspy-1khz-jit,fib-37,6,0.262
reli-1khz-jit,fib-37,6,0.284
reli-1khz-relijit,fib-37,6,0.268
phpspy-1khz-jit,fib-37,7,0.351
reli-1khz-jit,fib-37,7,0.275
reli-1khz-relijit,fib-37,7,0.332
phpspy-1khz-jit,fib-37,8,0.292
reli-1khz-jit,fib-37,8,0.281
reli-1khz-relijit,fib-37,8,0.391
phpspy-1khz-jit,fib-37,9,0.382
reli-1khz-jit,fib-37,9,0.262
reli-1khz-relijit,fib-37,9,0.281
phpspy-1khz-jit,fib-37,10,0.340
reli-1khz-jit,fib-37,10,0.299
reli-1khz-relijit,fib-37,10,0.243
phpspy-1khz-jit,sort-100k-x100,1,1.599
reli-1khz-jit,sort-100k-x100,1,1.369
reli-1khz-relijit,sort-100k-x100,1,1.388
phpspy-1khz-jit,sort-100k-x100,2,1.383
reli-1khz-jit,sort-100k-x100,2,1.314
reli-1khz-relijit,sort-100k-x100,2,1.376
phpspy-1khz-jit,sort-100k-x100,3,1.452
reli-1khz-jit,sort-100k-x100,3,1.330
reli-1khz-relijit,sort-100k-x100,3,1.381
phpspy-1khz-jit,sort-100k-x100,4,1.423
reli-1khz-jit,sort-100k-x100,4,1.345
reli-1khz-relijit,sort-100k-x100,4,1.442
phpspy-1khz-jit,sort-100k-x100,5,1.384
reli-1khz-jit,sort-100k-x100,5,1.358
