config,bench,run,wall_seconds
spx-sample-1ms,depth-30-2M,5,2.982
spx-sample-1ms,depth-30-2M,6,3.014
spx-sample-1ms,depth-30-2M,7,3.094
spx-sample-1ms,depth-30-2M,8,3.005
spx-sample-1ms,depth-30-2M,9,3.025
spx-sample-1ms,depth-30-2M,10,3.120
spx-sample-1ms,depth-100-1M,1,4.164
spx-sample-1ms,depth-100-1M,2,3.919
spx-sample-1ms,depth-100-1M,3,3.904
spx-sample-1ms,depth-100-1M,4,3.917
spx-sample-1ms,depth-100-1M,5,4.001
spx-sample-1ms,depth-100-1M,6,3.918
spx-sample-1ms,depth-100-1M,7,3.944
spx-sample-1ms,depth-100-1M,8,4.545
spx-sample-1ms,depth-100-1M,9,4.062
spx-sample-1ms,depth-100-1M,10,3.894
datadog-prof,fib-37,1,0.720
datadog-prof,fib-37,2,0.744
datadog-prof,fib-37,3,0.730
datadog-prof,fib-37,4,0.740
datadog-prof,fib-37,5,0.723
datadog-prof,fib-37,6,0.747
datadog-prof,fib-37,7,0.753
datadog-prof,fib-37,8,0.896
datadog-prof,fib-37,9,0.974
datadog-prof,fib-37,10,0.811
datadog-prof,sort-100k-x100,1,1.107
datadog-prof,sort-100k-x100,2,1.158
datadog-prof,sort-100k-x100,3,1.166
datadog-prof,sort-100k-x100,4,1.215
datadog-prof,sort-100k-x100,5,1.135
datadog-prof,sort-100k-x100,6,1.183
datadog-prof,sort-100k-x100,7,1.166
datadog-prof,sort-100k-x100,8,1.156
datadog-prof,sort-100k-x100,9,1.154
datadog-prof,sort-100k-x100,10,1.238
datadog-prof,mandelbrot-500,1,0.526
datadog-prof,mandelbrot-500,2,0.543
datadog-prof,mandelbrot-500,3,0.528
datadog-prof,mandelbrot-500,4,0.581
datadog-prof,mandelbrot-500,5,0.580
datadog-prof,mandelbrot-500,6,0.511
datadog-prof,mandelbrot-500,7,0.516
datadog-prof,mandelbrot-500,8,0.537
datadog-prof,mandelbrot-500,9,0.532
datadog-prof,mandelbrot-500,10,0.539
datadog-prof,depth-30-2M,1,1.685
datadog-prof,depth-30-2M,2,1.593
datadog-prof,depth-30-2M,3,1.629
datadog-prof,depth-30-2M,4,1.617
datadog-prof,depth-30-2M,5,1.658
datadog-prof,depth-30-2M,6,1.693
datadog-prof,depth-30-2M,7,1.961
datadog-prof,depth-30-2M,8,1.604
datadog-prof,depth-30-2M,9,1.628
datadog-prof,depth-30-2M,10,1.647
datadog-prof,depth-100-1M,1,1.240
datadog-prof,depth-100-1M,2,1.244
datadog-prof,depth-100-1M,3,1.251
datadog-prof,depth-100-1M,4,1.236
datadog-prof,depth-100-1M,5,1.259
datadog-prof,depth-100-1M,6,1.261
datadog-prof,depth-100-1M,7,1.428
datadog-prof,depth-100-1M,8,1.371
datadog-prof,depth-100-1M,9,1.231
datadog-prof,depth-100-1M,10,1.227
phpspy-1khz,fib-37,1,0.725
reli-1khz,fib-37,1,0.733
phpspy-1khz,fib-37,2,0.837
reli-1khz,fib-37,2,0.757
phpspy-1khz,fib-37,3,0.721
reli-1khz,fib-37,3,0.722
phpspy-1khz,fib-37,4,0.743
reli-1khz,fib-37,4,0.720
phpspy-1khz,fib-37,5,0.741
reli-1khz,fib-37,5,0.713
phpspy-1khz,fib-37,6,0.837
reli-1khz,fib-37,6,0.778
phpspy-1khz,fib-37,7,0.864
reli-1khz,fib-37,7,0.724
phpspy-1khz,fib-37,8,0.732
reli-1khz,fib-37,8,0.745
phpspy-1khz,fib-37,9,0.760
reli-1khz,fib-37,9,0.730
phpspy-1khz,fib-37,10,0.709
reli-1khz,fib-37,10,0.737
phpspy-1khz,sort-100k-x100,1,1.125
reli-1khz,sort-100k-x100,1,1.130
phpspy-1khz,sort-100k-x100,2,1.089
reli-1khz,sort-100k-x100,2,1.130
phpspy-1khz,sort-100k-x100,3,1.144
reli-1khz,sort-100k-x100,3,1.240
phpspy-1khz,sort-100k-x100,4,1.129
reli-1khz,sort-100k-x100,4,1.114
phpspy-1khz,sort-100k-x100,5,1.142
reli-1khz,sort-100k-x100,5,1.093
phpspy-1khz,sort-100k-x100,6,1.116
reli-1khz,sort-100k-x100,6,1.151
phpspy-1khz,sort-100k-x100,7,1.160
reli-1khz,sort-100k-x100,7,1.111
phpspy-1khz,sort-100k-x100,8,1.125
reli-1khz,sort-100k-x100,8,1.240
phpspy-1khz,sort-100k-x100,9,1.227
reli-1khz,sort-100k-x100,9,1.285
